Extraction Date:,6/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total (1)",WSC with Reports Issued Total (1.1),WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),WSC Pending Total  (1.2),WSC Pending a Due Process Hearing (1.2a),WSC Withdrawn or Dismissed(1.3),Mediation Requests Total (2),Mediations Held Total (2.1),Mediations Held Related to Due Process Complaints(2.1a),Mediation Agreements Related to Due Process Complaints (2.1ai),Mediations Held Not Related to Due Process Complaints (2.1b),Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),DPC Hearings (fully adjudicated) Total (3.2),DPC Written Decisions within Timeline (3.2a),DPC Written Decisions within Extended Timelines (3.2b),DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),EDPC Expedited Hearings (fully adjudicated) Total (4.2),EDPC Expedited Hearings - Change of Placement Ordered (4.2a),EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2014-2015,Alabama,7,5,4,4,1,0,0,2,107,44,27,21,17,14,12,51,173,91,17,3,0,3,37,133,1,1,1,0,0,0,1
2014-2015,Alaska,10,10,5,7,3,0,0,0,10,9,0,0,9,8,0,1,5,3,3,0,0,0,0,5,0,0,0,0,0,0,0
2014-2015,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Arizona,80,52,36,52,0,0,0,28,61,35,10,5,25,17,9,17,51,21,11,4,0,4,5,42,2,1,0,0,0,0,2
2014-2015,Arkansas,19,9,9,9,0,0,0,10,9,5,0,0,5,5,1,3,29,29,1,4,4,0,4,21,2,2,1,0,0,0,2
2014-2015,Bureau of Indian Education,11,9,9,0,0,0,0,2,2,2,2,2,0,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0
2014-2015,California,988,708,385,707,1,0,0,280,"3,862","2,186","2,031","1,282",155,88,510,"1,166","3,714",570,172,83,10,72,893,"2,738",64,7,5,6,1,14,44
2014-2015,Colorado,18,12,7,9,3,1,1,5,60,35,16,9,19,12,5,20,36,6,5,4,1,3,12,20,2,1,1,0,0,0,2
2014-2015,Connecticut,196,80,52,57,3,15,6,101,360,265,90,59,175,123,51,44,250,64,32,2,0,2,74,174,6,2,1,0,0,0,6
2014-2015,Delaware,7,3,2,3,0,0,0,4,14,11,3,2,8,8,2,1,19,4,1,0,0,0,0,19,2,0,0,0,0,0,2
