Extraction Date:,6/5/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total (1)",WSC with Reports Issued Total (1.1),WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),WSC Pending Total  (1.2),WSC Pending a Due Process Hearing (1.2a),WSC Withdrawn or Dismissed(1.3),Mediation Requests Total (2),Mediations Held Total (2.1),Mediations Held Related to Due Process Complaints(2.1a),Mediation Agreements Related to Due Process Complaints (2.1ai),Mediations Held Not Related to Due Process Complaints (2.1b),Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),DPC Hearings (fully adjudicated) Total (3.2),DPC Written Decisions within Timeline (3.2a),DPC Written Decisions within Extended Timelines (3.2b),DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),EDPC Expedited Hearings (fully adjudicated) Total (4.2),EDPC Expedited Hearings - Change of Placement Ordered (4.2a),EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2012-2013,Alabama,32,19,13,19,0,1,0,12,97,36,19,14,17,15,19,42,141,64,7,5,0,5,32,104,0,0,0,0,0,0,0
2012-2013,Alaska,8,8,4,7,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Arizona,108,68,46,68,0,0,0,40,62,37,16,13,21,19,1,24,81,31,15,1,0,0,9,71,2,1,0,0,0,0,2
2012-2013,Arkansas,26,13,9,12,1,0,0,13,57,36,0,0,36,30,0,21,30,30,24,2,0,2,4,24,3,3,3,0,0,0,3
2012-2013,Bureau of Indian Education,8,2,2,0,0,3,0,3,10,3,3,3,0,0,4,3,9,5,5,0,0,0,3,6,0,0,0,0,0,0,0
2012-2013,California,1023,755,504,743,12,0,0,268,3180,1859,1696,1100,163,104,461,860,2966,312,94,114,11,102,737,2115,61,5,0,4,0,7,50
2012-2013,Colorado,17,13,8,10,3,0,0,4,42,32,12,8,20,16,1,9,22,7,6,4,0,4,3,15,3,1,1,0,0,0,3
2012-2013,Connecticut,218,124,92,109,5,9,1,85,315,223,87,52,136,97,60,32,200,56,32,6,2,4,47,147,3,0,0,1,1,0,2
2012-2013,Delaware,17,9,4,6,3,0,0,8,15,10,1,1,9,0,0,5,17,1,1,1,0,1,0,16,4,0,0,0,0,0,4
2012-2013,District of Columbia,29,20,15,17,3,0,0,9,45,18,4,1,14,12,0,27,750,481,48,223,154,69,92,435,65,43,2,18,3,0,47
2012-2013,Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Florida,119,65,35,49,16,3,2,51,96,72,33,18,39,29,0,24,212,61,44,12,4,4,29,171,8,2,1,0,0,0,8
2012-2013,Georgia,120,73,34,72,1,0,0,47,87,68,11,5,57,44,0,19,87,58,33,2,0,2,4,81,8,6,6,0,0,0,8
2012-2013,Guam,7,5,2,5,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0
