Extraction Date:,6/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total (1)",WSC with Reports Issued Total (1.1),WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),WSC Pending Total  (1.2),WSC Pending a Due Process Hearing (1.2a),WSC Withdrawn or Dismissed(1.3),Mediation Requests Total (2),Mediations Held Total (2.1),Mediations Held Related to Due Process Complaints(2.1a),Mediation Agreements Related to Due Process Complaints (2.1ai),Mediations Held Not Related to Due Process Complaints (2.1b),Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),DPC Hearings (fully adjudicated) Total (3.2),DPC Written Decisions within Timeline (3.2a),DPC Written Decisions within Extended Timelines (3.2b),DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),EDPC Expedited Hearings (fully adjudicated) Total (4.2),EDPC Expedited Hearings - Change of Placement Ordered (4.2a),EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2013-2014,Alabama,15,11,7,10,1,2,0,2,95,36,20,18,16,13,6,53,184,94,27,6,0,6,44,134,1,1,0,1,1,0,0
2013-2014,Alaska,9,9,6,6,0,0,0,0,6,5,0,0,5,5,0,1,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0
2013-2014,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Arizona,78,47,29,47,0,0,0,31,59,36,14,9,22,17,1,22,66,23,15,1,0,1,13,52,3,1,1,0,0,0,3
2013-2014,Arkansas,19,9,6,9,0,0,0,10,49,34,1,0,33,33,0,15,46,46,40,4,4,0,2,40,4,4,4,0,0,0,4
2013-2014,Bureau of Indian Education,3,1,1,1,0,0,0,2,2,1,1,1,0,0,1,0,5,5,2,0,0,0,0,5,0,0,0,0,0,0,0
2013-2014,California,"1,020",672,362,657,15,0,0,348,"3,636","2,025","1,833","1,209",192,111,425,"1,186","3,386",428,140,121,15,106,803,"2,462",74,9,5,5,1,6,63
2013-2014,Colorado,16,12,10,7,5,0,0,4,53,35,11,5,24,17,4,14,22,5,3,2,0,2,4,16,0,0,0,0,0,0,0
2013-2014,Connecticut,197,103,66,77,9,2,1,92,343,255,87,57,168,118,42,46,237,71,32,10,4,6,50,177,11,8,6,2,2,0,9
2013-2014,Delaware,12,7,4,6,1,0,0,5,8,8,1,1,7,4,0,0,19,4,4,0,0,0,0,19,1,0,0,0,0,0,1
2013-2014,District of Columbia,21,19,15,17,2,1,1,1,8,3,2,2,1,0,1,4,639,474,13,245,191,54,77,317,40,26,0,20,2,3,17
2013-2014,Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Florida,123,76,38,64,12,1,1,46,73,46,20,16,26,8,7,20,189,44,26,11,3,4,21,157,11,4,4,1,0,1,9
2013-2014,Georgia,101,76,31,76,0,0,0,25,69,49,16,9,33,22,0,20,108,59,37,10,0,10,4,94,8,3,2,0,0,0,8
2013-2014,Guam,11,10,3,10,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2013-2014,Hawaii,23,10,3,7,3,0,0,13,14,5,0,0,5,5,3,6,79,56,9,10,0,10,20,49,1,0,0,0,0,1,0
2013-2014,Idaho,25,18,11,18,0,0,0,7,15,10,1,0,9,9,0,5,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0
2013-2014,Illinois,99,64,39,52,8,4,0,31,189,146,104,75,42,36,21,22,296,90,17,9,1,8,74,213,8,1,1,0,0,1,7
2013-2014,Indiana,119,61,45,61,0,0,0,58,62,53,5,3,48,39,0,9,62,46,37,4,0,4,10,48,2,2,2,0,0,0,2
2013-2014,Iowa,15,8,8,4,4,1,0,6,34,22,3,2,19,16,4,8,15,4,1,1,0,1,6,8,0,0,0,0,0,0,0
2013-2014,Kansas,31,20,9,20,0,0,0,11,17,16,2,0,14,12,0,1,10,5,2,2,2,0,0,8,5,2,1,1,0,0,4
2013-2014,Kentucky,19,10,8,8,2,0,0,9,6,4,1,1,3,2,0,2,12,6,2,0,0,0,2,10,0,0,0,0,0,0,0
2013-2014,Louisiana,33,13,3,13,0,0,0,20,5,2,2,2,0,0,0,3,11,9,5,0,0,0,0,11,1,1,1,0,0,0,1
2013-2014,Maine,23,3,2,3,0,0,0,20,58,29,10,5,19,17,0,29,23,4,0,0,0,0,1,22,2,0,0,0,0,0,2
2013-2014,Maryland,111,77,64,72,4,1,0,33,259,134,54,36,80,58,21,104,224,74,43,15,3,12,40,169,2,1,1,0,0,0,2
2013-2014,Massachusetts,360,237,167,236,1,9,9,114,"1,030",694,34,25,660,556,112,224,590,20,5,16,0,16,256,318,9,0,0,0,0,0,9
2013-2014,Michigan,257,190,124,163,21,1,0,66,90,48,9,8,39,31,2,40,56,28,16,2,2,0,2,52,11,4,1,2,0,0,9
2013-2014,Minnesota,74,59,49,48,7,0,0,15,61,28,0,0,28,20,13,20,25,11,1,2,1,1,5,18,6,2,1,1,0,0,5
2013-2014,Mississippi,61,42,28,42,0,0,0,19,12,12,3,2,9,5,0,0,4,1,1,0,0,0,0,4,0,0,0,0,0,0,0
2013-2014,Missouri,76,65,37,65,0,0,0,11,31,20,8,7,12,11,1,10,64,37,14,7,2,5,5,52,2,0,0,1,0,0,1
2013-2014,Montana,8,6,6,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2013-2014,Nebraska,5,3,1,3,0,1,0,1,4,2,0,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-2014,Nevada,9,2,0,2,0,1,0,6,4,2,2,1,0,0,0,2,98,89,58,0,0,0,19,79,0,0,0,0,0,0,0
2013-2014,New Hampshire,37,18,12,16,0,0,0,19,31,29,9,9,20,11,1,1,33,5,4,7,4,3,0,26,0,0,0,0,0,0,0
2013-2014,New Jersey,227,118,41,105,13,42,42,67,750,599,345,105,254,124,0,151,"1,031",16,15,49,41,6,324,658,16,1,1,1,0,0,15
2013-2014,New Mexico,44,23,17,22,1,1,1,20,43,37,21,19,16,9,1,5,39,22,13,2,0,2,2,35,2,2,1,1,0,0,1
2013-2014,New York,256,184,139,171,12,0,0,72,356,217,19,14,198,175,12,127,"6,417","5,778",272,813,99,601,"1,726","3,878",27,21,6,3,1,3,21
